question,indicator,pred_seasonality,exp_seasonality,pred_price,exp_price,pred_history,exp_history,latency_ms,key
cual es el ultimo imacec,imacec,sa,nsa,none,co,none,2018,0.23,sa::none::none
dame la ultima cifra de la mineria,imacec,sa,nsa,none,co,none,2018,0.01,sa::none::none
cuales son los valores del imacec por actividad economica,imacec,sa,nsa,none,co,none,2018,0.01,sa::none::none
cuanto acelero la economia sin ajuste estacional,imacec,nsa,nsa,none,co,none,2018,0.01,nsa::none::none
dame el cambio en el margen el sector no minero no ajustado por estacionalidad,imacec,nsa,nsa,none,co,none,2018,0.01,nsa::none::none
cuanto variaron todas las actividades economicas respecto al periodo anterior de la serie original,imacec,nsa,nsa,none,co,none,2018,0.02,nsa::none::none
en cuanto vario la economia recientemente,imacec,sa,nsa,none,co,none,2018,0.01,sa::none::none
cuanto crecio la industria en el ultimo periodo disponible,imacec,sa,nsa,none,co,none,2018,0.01,sa::none::none
cual fue el desempeño de los sectores economicos recientemente,imacec,sa,nsa,none,co,none,2018,0.01,sa::none::none
NO SE PUEDE HABLAR DE CONTRIBUCION SIN HABLAR DE LAS ACTIVIDADES ECONOMICAS,imacec,sa,nsa,none,co,none,2018,0.02,sa::none::none
cuanto contribuyo el sector comercial en la economia en la ultima publicacion,imacec,sa,nsa,none,co,none,2018,0.01,sa::none::none
que actividad impulso el crecimiento economico,imacec,sa,nsa,none,co,none,2018,0.01,sa::none::none
cuanto contribuyeron cada actividad al crecimiento economico,imacec,sa,nsa,none,co,none,2018,0.01,sa::none::none
dame la ultima cifra del imacec en frecuencia trimestral,imacec,sa,nsa,none,co,none,2018,0.01,sa::none::none
entregame la cifra trimestral mas reciente del imacec del sector no minero,imacec,sa,nsa,none,co,none,2018,0.01,sa::none::none
dame los datos mas reciente del indice trimestral de la actividad economica por sector economico,imacec,sa,nsa,none,co,none,2018,0.01,sa::none::none
cual fue el dinamismo del imacec trimestral del ultimo dato publicado para la serie bruta,imacec,nsa,nsa,none,co,none,2018,0.01,nsa::none::none
como acelero la mineria en frecuencia trimestral del imacec con estacionalidad,imacec,sa,nsa,none,co,none,2018,0.01,sa::none::none
en cuanto vario en el corto plazo las actividades economicas del imacec en frecuencia trimestral sin ajuste estacional,imacec,nsa,nsa,none,co,none,2018,0.01,nsa::none::none
en cuanto se expandio el imacec trimestral en el ultimo periodo,imacec,sa,nsa,none,co,none,2018,0.01,sa::none::none
como se desempeño en frecuencia trimestral la mineria para el imacec,imacec,sa,nsa,none,co,none,2018,0.01,sa::none::none
dame las variaciones de los sectores economicos del imacec en frecuencia trimestral,imacec,sa,nsa,none,co,none,2018,0.01,sa::none::none
NO EXISTE CONTRIBUCION DEL IMACEC EN FRECUENCIA TRIMESTRAL,imacec,sa,nsa,none,co,none,2018,0.01,sa::none::none
dame la cifra mas reciente del imacec anual,imacec,sa,nsa,none,co,none,2018,0.01,sa::none::none
cual fue la cifra del sector de servicios del imacec en frecuencia anual,imacec,sa,nsa,none,co,none,2018,0.01,sa::none::none
muestrame los valores del imacec anual por actividad economica ,imacec,sa,nsa,none,co,none,2018,0.01,sa::none::none
dame la aceleracion de imacec en frecuencia anual en su serie original,imacec,nsa,nsa,none,co,none,2018,0.01,nsa::none::none
no ajustado por estacionalidad en cuanto vario en el margen el imacec minero en su frecuencia anual,imacec,nsa,nsa,none,co,none,2018,0.01,nsa::none::none
dame todas las variaciones respecto al periodo anterior de los sectores del imacec anual no desestacionalizada,imacec,sa,nsa,none,co,none,2018,0.01,sa::none::none
en cuanto vario en 12 meses el imacec en frecuencia anual,imacec,sa,nsa,none,co,none,2018,0.01,sa::none::none
quiero el cambio del imacec en frecuencia anual respecto al miso perido del año anterior del sector de industria,imacec,sa,nsa,none,co,none,2018,0.01,sa::none::none
dame la variacion de t vs t-12 de los sectores economicos del imacec en frecuencia anual,imacec,sa,nsa,none,co,none,2018,0.01,sa::none::none
NO EXISTE CONTRIBUCION DEL IMACEC EN FRECUENCIA TRIMESTRAL,imacec,sa,nsa,none,co,none,2018,0.01,sa::none::none
dame el valor mas reciente del imacec desestacionalizado,imacec,sa,sa,none,co,none,2018,0.00,sa::none::none
cual fue el valor del imacec no minero aplicando ajuste estacional,imacec,sa,sa,none,co,none,2018,0.01,sa::none::none
que sectores impulsaron el crecimiento ajustando la cifra por estacionalidad,imacec,sa,sa,none,co,none,2018,0.01,sa::none::none
en cuanto acelero la economia,imacec,sa,sa,none,co,none,2018,0.01,sa::none::none
por cuanto vario en el margen el imacec en produccion de bienes,imacec,sa,sa,none,co,none,2018,0.01,sa::none::none
entregame las variaciones en el margen de los sectores economicos,imacec,sa,sa,none,co,none,2018,0.01,sa::none::none
en cuanto vario la economia con ajuste estacional en la ultima publicacion,imacec,sa,sa,none,co,none,2018,0.01,sa::none::none
cual fue el cambio de la economia eliminando el componente estacional,imacec,sa,sa,none,co,none,2018,0.01,sa::none::none
